Scenario,Accuracy,AUC,F1 Score,Source
LabelFlipping_IsolationForest,0.7,0.706,0.796,With Defenses
LabelFlipping_IsolationForest,0.66,0.624,0.765,With Defenses
Clean Data,0.707,0.724,0.807,With Defenses
Clean Data,0.667,0.61,0.773,With Defenses
Clean Data,0.7,0.669,0.798,With Defenses
LabelFlipping_IsolationForest,0.7,0.706,0.796,With Defenses
LabelFlipping_IsolationForest,0.66,0.624,0.765,With Defenses
LabelFlipping_LOF,0.733,0.719,0.817,With Defenses
LabelFlipping_LOF,0.653,0.616,0.755,With Defenses
Clean Data,0.707,0.724,0.807,With Defenses
Clean Data,0.667,0.61,0.773,With Defenses
Clean Data,0.7,0.669,0.798,With Defenses
LabelFlipping_LOF,0.733,0.719,0.817,With Defenses
LabelFlipping_LOF,0.653,0.616,0.755,With Defenses
LabelFlipping_Autoencoder,0.727,0.706,0.813,With Defenses
LabelFlipping_Autoencoder,0.64,0.58,0.752,With Defenses
Clean Data,0.707,0.724,0.807,With Defenses
Clean Data,0.667,0.61,0.773,With Defenses
Clean Data,0.7,0.669,0.798,With Defenses
LabelFlipping_Autoencoder,0.727,0.706,0.813,With Defenses
LabelFlipping_Autoencoder,0.64,0.58,0.752,With Defenses
LabelFlipping_IsolationForest_Autoencoder,0.707,0.709,0.796,With Defenses
LabelFlipping_IsolationForest_Autoencoder,0.7,0.632,0.793,With Defenses
Clean Data,0.707,0.724,0.807,With Defenses
Clean Data,0.667,0.61,0.773,With Defenses
Clean Data,0.7,0.669,0.798,With Defenses
LabelFlipping_IsolationForest_Autoencoder,0.707,0.709,0.796,With Defenses
LabelFlipping_IsolationForest_Autoencoder,0.7,0.632,0.793,With Defenses
FeatureManipulation_IsolationForest,0.713,0.717,0.809,With Defenses
FeatureManipulation_IsolationForest,0.68,0.674,0.778,With Defenses
Clean Data,0.707,0.724,0.807,With Defenses
Clean Data,0.667,0.61,0.773,With Defenses
Clean Data,0.7,0.669,0.798,With Defenses
FeatureManipulation_IsolationForest,0.713,0.717,0.809,With Defenses
FeatureManipulation_IsolationForest,0.68,0.674,0.778,With Defenses
FeatureManipulation_LOF,0.727,0.721,0.816,With Defenses
FeatureManipulation_LOF,0.633,0.615,0.747,With Defenses
Clean Data,0.707,0.724,0.807,With Defenses
Clean Data,0.667,0.61,0.773,With Defenses
Clean Data,0.7,0.669,0.798,With Defenses
FeatureManipulation_LOF,0.727,0.721,0.816,With Defenses
FeatureManipulation_LOF,0.633,0.615,0.747,With Defenses
FeatureManipulation_Autoencoder,0.733,0.728,0.818,With Defenses
FeatureManipulation_Autoencoder,0.653,0.632,0.761,With Defenses
Clean Data,0.707,0.724,0.807,With Defenses
Clean Data,0.667,0.61,0.773,With Defenses
Clean Data,0.7,0.669,0.798,With Defenses
FeatureManipulation_Autoencoder,0.733,0.728,0.818,With Defenses
FeatureManipulation_Autoencoder,0.653,0.632,0.761,With Defenses
FeatureManipulation_IsolationForest_Autoencoder,0.7,0.717,0.8,With Defenses
FeatureManipulation_IsolationForest_Autoencoder,0.667,0.61,0.773,With Defenses
Clean Data,0.707,0.724,0.807,With Defenses
Clean Data,0.667,0.61,0.773,With Defenses
Clean Data,0.7,0.669,0.798,With Defenses
FeatureManipulation_IsolationForest_Autoencoder,0.7,0.717,0.8,With Defenses
FeatureManipulation_IsolationForest_Autoencoder,0.667,0.61,0.773,With Defenses
BackdoorAttack_IsolationForest,0.713,0.708,0.809,With Defenses
BackdoorAttack_IsolationForest,0.687,0.65,0.781,With Defenses
Clean Data,0.707,0.724,0.807,With Defenses
Clean Data,0.667,0.61,0.773,With Defenses
Clean Data,0.7,0.669,0.798,With Defenses
BackdoorAttack_IsolationForest,0.713,0.708,0.809,With Defenses
BackdoorAttack_IsolationForest,0.687,0.65,0.781,With Defenses
BackdoorAttack_LOF,0.72,0.725,0.814,With Defenses
BackdoorAttack_LOF,0.66,0.621,0.765,With Defenses
